Año,Kilómetraje,Precio,Lugar,Negociacion,Categoría,Marca,Subtipo,Modelo,Publicación,Recorrido,Vidrios,Transmisión,Combustible,Sistema de climatización,Tracción,Color,Último número de la placa,Dirección,Motor(cilindraje),Tapizado,Placa,Tipo de Motor,Entrada desde,Cuotas desde,Número de cuotas
2013,142940,12.800,Cuenca,Negociable,USED,Jetour,Crossover,X70 PLUS,#1712155,2780 Kms,Eléctricos,Tiptronic,Gasolina,Climatizador Tri-Zona,4 x 2,Blanco,0,Electrónica,1600,Cuero,Chimborazo,TURBO,,,
2020,45000,22.600,Quito,Negociable,USED,Chevrolet,Crossover,Captiva Premier,,,,,,,,,,,,,,,,,
2018,57000,12.300,Cuenca,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
2019,80000,12.900,Ambato,Negociable,USED,Chevrolet,Hatchback (5 Puertas),SAIL LTZ,,,,,,,,,,,,,,,,,
2016,97000,13.100,Cuenca,Negociable,USED,Chevrolet,Sedán,Aveo Emotion,,,,,,,,,,,,,,,,,
2019,75200,11.900,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Aveo Family,,,,,,,,,,,,,,,,,
2017,158691,17.900,Cuenca,Negociable,USED,Mazda,Camioneta Doble Cabina,BT-50 CD 4x2,,,,,,,,,,,,,,,,,
2018,122692,23.000,Cuenca,Negociable,USED,Kia,Todoterreno,SPORTAGE SL,,,,,,,,,,,,,,,,,
1994,121182,9.800,Cuenca,Negociable,USED,Chevrolet,Camioneta Doble Cabina,LUV CD,,,,,,,,,,,,,,,,,
2017,119947,12.400,Cuenca,Negociable,USED,Kia,Hatchback (5 Puertas),Picanto R,,,,,,,,,,,,,,,,,
2018,46190,10.200,Cuenca,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark Life,,,,,,,,,,,,,,,,,
2006,170000,10.800,Quito,Negociable,USED,Chevrolet,Todoterreno,TrailBlazer SS,,,,,,,,,,,,,,,,,
2021,23832,27.900,Quito,Negociable,USED,Kia,Todoterreno,Sportage,,,,,,,,,,,,,,,,,
2008,355000,14.900,Quito,Negociable,USED,Mitsubishi,Camioneta Doble Cabina,L200,,,,,,,,,,,,,,,,,
2012,295195,8.900,Quito,Negociable,USED,Nissan,Sedán,Sentra,,,,,,,,,,,,,,,,,
2015,97000,15.300,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ 2.4,,,,,,,,,,,,,,,,,
2019,40000,33.800,Quito,Negociable,USED,Hyundai,Todoterreno,New Santa Fe,,,,,,,,,,,,,,,,,
2018,41574,14.900,Quito,Fijo,USED,Peugeot,Sedán,301,,,,,,,,,,,,,,,,,
2015,206000,28.000,Loja,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX CRDI AC 3.0 CD 4X4 TM DIESEL,,,,,,,,,,,,,,,,,
2000,520170,6.900,Quito,Negociable,USED,Chevrolet,Camioneta Cabina Simple,Silverado,,,,,,,,,,,,,,,,,
2012,177664,6.900,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark,,,,,,,,,,,,,,,,,
1998,250000,6.990,Quito,Negociable,USED,Chrysler,Sedán,Stratus,,,,,,,,,,,,,,,,,
2016,158101,32.900,Quito,Negociable,USED,Toyota,Camioneta Doble Cabina,Hilux SR AC CD,,,,,,,,,,,,,,,,,
2017,101572,16.900,Quito,Negociable,USED,Great Wall,Todoterreno,H6,,,,,,,,,,,,,,,,,
2013,170000,13.800,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
2015,138570,10.800,Cuenca,Negociable,USED,Chevrolet,Mini van (MPV),N300 MAX CARGO 1.2L TM AC,,,,,,,,,,,,,,,,,
2018,97200,17.900,Cuenca,Negociable,USED,Great Wall,Camioneta Cabina Simple,Wingle 5 AC CS 4X4,,,,,,,,,,,,,,,,,
2019,90000,17.900,Ambato,Negociable,USED,Suzuki,Todoterreno,S-Cross,,,,,,,,,,,,,,,,,
2016,70000,20.900,Ambato,Negociable,USED,Nissan,Todoterreno,X-Trail Sense,,,,,,,,,,,,,,,,,
1994,281000,6.800,Quito,Negociable,USED,Honda,Sedán,Accord,,,,,,,,,,,,,,,,,
2002,264000,9.800,Quito,Negociable,USED,Chevrolet,Camioneta Cabina Simple,Silverado,,,,,,,,,,,,,,,,,
2016,158966,9.800,Cuenca,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark Life,,,,,,,,,,,,,,,,,
2009,206940,11.900,Quito,Negociable,USED,Ford,Todoterreno Ligero,ESCAPE XLS,,,,,,,,,,,,,,,,,
2021,26071,11.900,Quito,Negociable,USED,Chery,Sedán,Arrizo 3,,,,,,,,,,,,,,,,,
2019,82534,17.900,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
2012,168713,17.500,Cuenca,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX CRDI AC 3.0 CD 4X4 TM DIESEL,#1719724,206000 Kms,Eléctricos,Manual,Diesel,Aire Acondicionado,4 x 4,Vino,9,Hidráulica,3000,Tela,Loja,3.0L TURBO,,,
2011,173939,16.800,Cuenca,Negociable,USED,Hyundai,Todoterreno,Tucson IX,,,,,,,,,,,,,,,,,
2020,67000,23.500,Ambato,Negociable,USED,Chevrolet,Crossover,Captiva Premier,,,,,,,,,,,,,,,,,
2019,21475,11.900,Quito,Fijo,USED,Changan,Camioneta Cabina Simple,Star 5 Pick Up,,,,,,,,,,,,,,,,,
2009,207248,12.900,Quito,Fijo,USED,Suzuki,Todoterreno,Grand Vitara SZ 2.4,,,,,,,,,,,,,,,,,
2012,136029,11.900,Quito,Fijo,USED,Chevrolet,Todoterreno,Captiva Sport,,,,,,,,,,,,,,,,,
2017,95000,16.900,Quito,Negociable,USED,Great Wall,Camioneta Doble Cabina,WINGLE,,,,,,,,,,,,,,,,,
2007,185000,9.500,Quito,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara 5P 4X4,,,,,,,,,,,,,,,,,
2014,136000,14.900,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva Sport,,,,,,,,,,,,,,,,,
2014,170106,15.900,Cuenca,Negociable,USED,Ford,SUV,Escape,,,,,,,,,,,,,,,,,
2003,410000,10.500,Cuenca,Negociable,USED,Kia,Van,Pregio,,,,,,,,,,,,,,,,,
2015,72000,14.800,Cuenca,Negociable,USED,Kia,Sedán,Rio,,,,,,,,,,,,,,,,,
2021,27000,17.800,Ibarra,Negociable,USED,DFSK,Hatchback (5 Puertas),GLORY 560,,,,,,,,,,,,,,,,,
2019,83000,12.500,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),SAIL LTZ,,,,,,,,,,,,,,,,,
2007,188000,7.800,Quito,Negociable,USED,Fiat,Station Wagon,Palio Adventure,,,,,,,,,,,,,,,,,
2004,158000,9.200,Quito,Negociable,USED,Chevrolet,Todoterreno,Jimny,,,,,,,,,,,,,,,,,
2018,66000,25.000,Quito,Negociable,USED,Volkswagen,Camioneta Doble Cabina,Amarok TDI,,,,,,,,,,,,,,,,,
2011,340000,12.900,Quito,Fijo,USED,Chevrolet,Camioneta Cabina Simple,D-MAX,,,,,,,,,,,,,,,,,
2015,77638,13.900,Quito,Fijo,USED,Chevrolet,Sedán,Cruze,,,,,,,,,,,,,,,,,
2011,156216,10.000,Loja,Fijo,USED,Chevrolet,Sedán,Aveo Emotion,,,,,,,,,,,,,,,,,
2012,73000,16.800,Ambato,Negociable,USED,Nissan,Todoterreno,Juke,,,,,,,,,,,,,,,,,
2011,172487,15.900,Quito,Negociable,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,
2013,270000,22.800,Cuenca,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX XTREME 3.0 Diesel CD 4X4,,,,,,,,,,,,,,,,,
2012,133000,20.800,Cuenca,Negociable,USED,Ford,Camioneta Cabina Simple,F150 CS 4x4,,,,,,,,,,,,,,,,,
2017,72000,15.800,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ 2.4,,,,,,,,,,,,,,,,,
2009,190667,11.900,Quito,Negociable,USED,Volkswagen,Sedán,JETTA EUROPA 2.0,,,,,,,,,,,,,,,,,
2018,64766,11.900,Quito,Negociable,USED,Kia,Hatchback (5 Puertas),PICANTO LX,,,,,,,,,,,,,,,,,
1994,80467,38.900,Cuenca,Negociable,USED,Toyota,Camioneta Cabina Simple,Hilux CS 4x4,,,,,,,,,,,,,,,,,
2017,128482,17.500,Cuenca,Negociable,USED,Kia,Crossover,NIRO,,,,,,,,,,,,,,,,,
2014,149481,14.800,Cuenca,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,
2015,115200,7.990,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Aveo Family,,,,,,,,,,,,,,,,,
2016,72000,15.800,Quito,Negociable,USED,Great Wall,Camioneta Doble Cabina,WINGLE,,,,,,,,,,,,,,,,,
2002,23585,7.900,Quito,Negociable,USED,Kia,Van,Carnival,,,,,,,,,,,,,,,,,
2014,159710,11.900,Quito,Negociable,USED,Nissan,Hatchback (5 Puertas),X-Trail Classic,,,,,,,,,,,,,,,,,
2016,99000,44.800,Cuenca,Negociable,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,
2010,178000,11.800,Cuenca,Negociable,USED,Chevrolet,Sedán,Cruze,#1717412,77638 Kms,Eléctricos,Automática,Gasolina,Aire Acondicionado,4 x 2,Negro,5,Asistida,1800,Corosil,Guayas,,,,
1965,74632,16.000,Cuenca,Negociable,USED,Volkswagen,Coupé,Escarabajo,,,,,,,,,,,,,,,,,
2020,88808,23.900,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,
2005,213289,10.900,Quito,Negociable,USED,Chevrolet,Camioneta Cabina Simple,LUV D-MAX TM 2.4 4X2,,,,,,,,,,,,,,,,,
2021,33000,18.500,Ambato,Negociable,USED,Chevrolet,Station Wagon,ONIX,,,,,,,,,,,,,,,,,
2005,200000,7.800,Quito,Negociable,USED,Peugeot,Station Wagon,307 SW,,,,,,,,,,,,,,,,,
2012,130000,13.300,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara 5P,,,,,,,,,,,,,,,,,
2019,72332,18.900,Quito,Negociable,USED,Chevrolet,Todoterreno,Tracker LS,,,,,,,,,,,,,,,,,
2021,43000,28.800,Cuenca,Negociable,USED,Mazda,Camioneta Doble Cabina,BT-50 CD 4x2,,,,,,,,,,,,,,,,,
2019,74000,28.800,Ambato,Negociable,USED,Mazda,Camioneta Doble Cabina,BT-50 CD 4x2,,,,,,,,,,,,,,,,,
2022,1,43.990,Cuenca,Negociable,USED,Mitsubishi,Camioneta Doble Cabina,Sportero L200 Triton,,,,,,,,,,,,,,,,,
2022,1,43.990,Cuenca,Negociable,USED,Mitsubishi,Camioneta Doble Cabina,Sportero L200,,,,,,,,,,,,,,,,,
2022,1,43.990,Cuenca,Negociable,USED,Mitsubishi,Camioneta Doble Cabina,L200,,,,,,,,,,,,,,,,,
2014,127000,11.800,Ambato,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Sail,,,,,,,,,,,,,,,,,
2014,163000,29.800,Ambato,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
2020,44000,27.300,Ambato,Negociable,USED,JAC,Camioneta Doble Cabina,T8,,,,,,,,,,,,,,,,,
2019,90000,33.500,Ambato,Negociable,USED,Kia,Todoterreno,Sorento,,,,,,,,,,,,,,,,,
2015,70000,14.000,Buena Fe,Negociable,USED,Nissan,Sedán,Sentra Advance AT,,,,,,,,,,,,,,,,,
2016,98000,26.500,Ambato,Negociable,USED,Toyota,Camioneta Doble Cabina,Hilux CD 4x2,,,,,,,,,,,,,,,,,
2018,19000,38.800,Ambato,Negociable,USED,Toyota,Camioneta Cabina Simple,Hilux CS 4x4,,,,,,,,,,,,,,,,,
2018,42000,28.500,Ambato,Negociable,USED,Hyundai,Todoterreno,TUCSON TL,,,,,,,,,,,,,,,,,
2016,120000,29.800,Ambato,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX CRDI FULL AC 3.0 CD 4X4 TM DIESEL,,,,,,,,,,,,,,,,,
2012,120000,22.000,Ambato,Negociable,USED,Toyota,Camioneta Doble Cabina,Hilux CD 4x2,,,,,,,,,,,,,,,,,
2018,80204,13.300,Quito,Negociable,USED,Chevrolet,Sedán,Sail,,,,,,,,,,,,,,,,,
2016,125000,26.800,Cuenca,Negociable,USED,Mitsubishi,Todoterreno,Outlander,,,,,,,,,,,,,,,,,
2020,85000,23.500,Quito,Negociable,USED,JAC,Camioneta Doble Cabina,T8,,,,,,,,,,,,,,,,,
2021,25000,31.500,Quito,Negociable,USED,Toyota,Camioneta Doble Cabina,Hilux CD 4x2,,,,,,,,,,,,,,,,,
2015,160000,26.500,Quito,Fijo,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
2021,4500,65.500,Quito,Negociable,USED,Mercedes Benz,Hatchback (5 Puertas),A35 AMG,,,,,,,,,,,,,,,,,
2015,72000,13.900,Quito,Negociable,USED,Great Wall,Todoterreno,H5 Elite,,,,,,,,,,,,,,,,,
2019,80000,10.900,Ambato,Negociable,USED,Shineray,Van de Carga,X30 CARGO,,,,,,,,,,,,,,,,,
2019,50000,29.500,Cuenca,Negociable,USED,Hyundai,Todoterreno,TUCSON TL,,,,,,,,,,,,,,,,,
2015,115310,13.900,Quito,Negociable,USED,Suzuki,Todoterreno,GRAN VITARA SZ NEXT,,,,,,,,,,,,,,,,,
2020,10,46.000,Quito,Fijo,USED,Jeep,Todoterreno,Wrangler Rubicon,,,,,,,,,,,,,,,,,
2020,29000,22.400,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,
2018,98000,27.000,Loja,Negociable,USED,Toyota,Camioneta Doble Cabina,Hilux CD 4x2,#1667833,98000 Kms,Manuales,Manual,Gasolina,Aire Acondicionado,4 x 2,Rojo,5,Electrónica,2700,Tela,Carchi,,,,
1999,195000,7.800,Quito,Negociable,USED,Chevrolet,Todoterreno,Vitara 3P,,,,,,,,,,,,,,,,,
1998,343591,5.900,Quito,Negociable,USED,Hyundai,Hatchback (5 Puertas),Accent,,,,,,,,,,,,,,,,,
2008,312153,25.900,Quito,Negociable,USED,Toyota,Van,Hiace,,,,,,,,,,,,,,,,,
2019,90821,25.900,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail Sense,,,,,,,,,,,,,,,,,
2019,78000,14.900,Quito,Negociable,USED,Renault,Sedán,Logan,,,,,,,,,,,,,,,,,
2011,131378,12.900,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva Sport,,,,,,,,,,,,,,,,,
2018,77231,11.500,Cuenca,Negociable,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,
2019,13420,44.900,Quito,Negociable,USED,Volvo,Todoterreno,XC40 R Design,,,,,,,,,,,,,,,,,
2020,28000,22.400,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,
2007,163589,13.900,Quito,Negociable,USED,Hyundai,Todoterreno,Santa Fe,,,,,,,,,,,,,,,,,
2014,51157,30.900,Quito,Negociable,USED,Volvo,Crossover,V40 T5 Cross country,,,,,,,,,,,,,,,,,
2018,65815,90.900,Quito,Negociable,USED,Ford,Todoterreno,RAPTOR,,,,,,,,,,,,,,,,,
2012,200000,11.900,Quito,Negociable,USED,Chevrolet,Todoterreno Ligero,Grand Vitara 5p 4x2,,,,,,,,,,,,,,,,,
2008,292088,12.500,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX CD 3.5 V6,,,,,,,,,,,,,,,,,
2015,180000,19.800,Cuenca,Negociable,USED,Kia,Todoterreno,Sportage R,,,,,,,,,,,,,,,,,
2015,52472,86.900,Quito,Negociable,USED,Porsche,Todoterreno,Cayenne,,,,,,,,,,,,,,,,,
2012,43109,35.000,Quito,Negociable,USED,BMW,Sedán,328i,,,,,,,,,,,,,,,,,
1993,99999,7.500,Quito,Negociable,USED,Nissan,Camioneta Cabina Simple,1200,,,,,,,,,,,,,,,,,
2015,160049,49.900,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,F150 Lariat,,,,,,,,,,,,,,,,,
2012,174132,13.900,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
2013,180000,16.500,Quito,Negociable,USED,Ford,Camioneta Cabina Simple,F150 DC 4X4,,,,,,,,,,,,,,,,,
2022,40000,23.200,Cuenca,Negociable,USED,Chery,Todoterreno,Tiggo 8 1.5 TM 4x2,,,,,,,,,,,,,,,,,
2021,35000,18.500,Cuenca,Negociable,USED,Chevrolet,Station Wagon,ONIX,,,,,,,,,,,,,,,,,
2018,82000,37.800,Cuenca,Negociable,USED,Mazda,Camioneta Cabina Simple,BT-50 4x4 Diesel,,,,,,,,,,,,,,,,,
2021,42000,19.500,Cuenca,Negociable,USED,Kia,Crossover,Stonic,,,,,,,,,,,,,,,,,
2011,241125,7.900,Quito,Negociable,USED,Fiat,Utilitario,Fiorino Fire,,,,,,,,,,,,,,,,,
2012,194114,9.900,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail Classic,,,,,,,,,,,,,,,,,
2013,124000,26.800,Loja,Fijo,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,
2019,36000,12.300,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
2010,294440,18.900,Quito,Negociable,USED,Toyota,Camioneta Cabina y Media,EKT HILUX 4X2 CS,,,,,,,,,,,,,,,,,
2014,80057,49.900,Quito,Negociable,USED,Audi,Todoterreno,Q7,,,,,,,,,,,,,,,,,
1999,99999,10.900,Quito,Negociable,USED,Nissan,Camioneta Cabina Simple,1200,,,,,,,,,,,,,,,,,
2022,12512,21.500,Cuenca,Negociable,USED,Citroen,Hatchback (5 Puertas),C3,,,,,,,,,,,,,,,,,
2022,12512,21.500,Cuenca,Negociable,USED,Citroen,Crossover,C3 SHINE,,,,,,,,,,,,,,,,,
2022,12512,21.500,Cuenca,Negociable,USED,Nissan,Camioneta Cabina Simple,1200,#1711189,99999 Kms,Manuales,Manual,Gasolina,Ninguno,4 x 2,Rojo,3,Hidráulica,1200,Tela,Cotopaxi,,,,
